"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-10-24T07:00:00.000Z","3,762.01","3,810.74","3,741.65","3,797.34","1.19","1.10","4,747,930,000"
"2022-10-25T07:00:00.000Z","3,799.44","3,862.85","3,799.44","3,859.11","1.63","1.54","4,843,120,000"
"2022-10-26T07:00:00.000Z","3,825.97","3,886.15","3,824.07","3,830.60","-0.74","-0.82","4,817,310,000"
"2022-10-27T07:00:00.000Z","3,834.69","3,859.95","3,803.79","3,807.30","-0.61","-0.69","4,687,320,000"
"2022-10-28T07:00:00.000Z","3,808.26","3,905.42","3,808.26","3,901.06","2.46","2.38","4,459,410,000"
"2022-10-31T07:00:00.000Z","3,881.85","3,893.73","3,863.18","3,871.98","-0.75","-0.83","4,820,620,000"
"2022-11-01T07:00:00.000Z","3,901.79","3,911.79","3,843.80","3,856.10","-0.41","-0.50","4,481,210,000"
"2022-11-02T07:00:00.000Z","3,852.90","3,894.44","3,758.68","3,759.69","-2.50","-2.59","4,899,000,000"
"2022-11-03T07:00:00.000Z","3,733.25","3,750.59","3,698.15","3,719.89","-1.06","-1.14","4,625,290,000"
"2022-11-04T07:00:00.000Z","3,766.98","3,796.34","3,708.84","3,770.55","1.36","1.28","5,400,180,000"
"2022-11-07T08:00:00.000Z","3,780.71","3,813.95","3,764.70","3,806.80","0.96","0.88","4,341,620,000"
"2022-11-08T08:00:00.000Z","3,817.02","3,859.40","3,786.28","3,828.11","0.56","0.47","4,607,640,000"
"2022-11-09T08:00:00.000Z","3,810.94","3,818.20","3,744.22","3,748.57","-2.08","-2.16","4,645,010,000"
"2022-11-10T08:00:00.000Z","3,859.89","3,958.33","3,859.89","3,956.37","5.54","5.46","5,781,260,000"
"2022-11-11T08:00:00.000Z","3,963.72","4,001.48","3,944.82","3,992.93","0.92","0.84","5,593,310,000"
"2022-11-14T08:00:00.000Z","3,977.97","4,008.97","3,956.40","3,957.25","-0.89","-0.98","4,561,930,000"
"2022-11-15T08:00:00.000Z","4,006.41","4,028.84","3,953.17","3,991.73","0.87","0.79","5,015,310,000"
"2022-11-16T08:00:00.000Z","3,976.82","3,983.09","3,954.34","3,958.79","-0.83","-0.91","4,165,320,000"
"2022-11-17T08:00:00.000Z","3,919.26","3,954.33","3,906.54","3,946.56","-0.31","-0.39","4,051,780,000"
"2022-11-18T08:00:00.000Z","3,966.39","3,979.89","3,935.98","3,965.34","0.48","0.39","4,037,360,000"
"2022-11-21T08:00:00.000Z","3,956.23","3,962.00","3,933.34","3,949.94","-0.39","-0.47","3,850,690,000"
"2022-11-22T08:00:00.000Z","3,965.51","4,005.88","3,956.88","4,003.58","1.36","1.27","3,887,990,000"
"2022-11-23T08:00:00.000Z","4,000.30","4,033.78","3,998.66","4,027.26","0.59","0.51","3,279,720,000"
"2022-11-25T08:00:00.000Z","4,023.34","4,034.02","4,020.76","4,026.12","-0.03","-0.11","1,706,460,000"
"2022-11-28T08:00:00.000Z","4,005.36","4,012.27","3,955.77","3,963.94","-1.54","-1.63","3,615,430,000"
"2022-11-29T08:00:00.000Z","3,964.19","3,976.77","3,937.65","3,957.63","-0.16","-0.24","3,546,040,000"
"2022-11-30T08:00:00.000Z","3,957.18","4,080.11","3,938.58","4,080.11","3.09","3.01","6,579,360,000"
"2022-12-01T08:00:00.000Z","4,087.14","4,100.51","4,050.87","4,076.57","-0.09","-0.17","4,527,130,000"
"2022-12-02T08:00:00.000Z","4,040.17","4,080.48","4,026.63","4,071.70","-0.12","-0.20","4,012,620,000"
"2022-12-05T08:00:00.000Z","4,052.02","4,052.45","3,984.49","3,998.84","-1.79","-1.87","4,280,820,000"
"2022-12-06T08:00:00.000Z","3,996.63","4,001.51","3,918.39","3,941.26","-1.44","-1.52","4,368,380,000"
"2022-12-07T08:00:00.000Z","3,933.28","3,957.57","3,922.68","3,933.92","-0.19","-0.27","4,118,050,000"
"2022-12-08T08:00:00.000Z","3,947.79","3,974.19","3,935.83","3,963.51","0.75","0.67","4,006,900,000"
"2022-12-09T08:00:00.000Z","3,954.17","3,977.02","3,933.04","3,934.38","-0.73","-0.82","3,888,260,000"
"2022-12-12T08:00:00.000Z","3,939.29","3,990.71","3,935.30","3,990.56","1.43","1.34","3,904,130,000"
"2022-12-13T08:00:00.000Z","4,069.38","4,100.96","3,993.03","4,019.65","0.73","0.64","5,079,360,000"
"2022-12-14T08:00:00.000Z","4,015.54","4,053.76","3,965.65","3,995.32","-0.61","-0.69","4,472,340,000"
"2022-12-15T08:00:00.000Z","3,958.37","3,958.37","3,879.45","3,895.75","-2.49","-2.58","4,493,900,000"
"2022-12-16T08:00:00.000Z","3,890.91","3,890.91","3,827.91","3,852.36","-1.11","-1.20","7,493,660,000"
"2022-12-19T08:00:00.000Z","3,853.79","3,854.86","3,800.04","3,817.66","-0.90","-0.99","3,969,610,000"
"2022-12-20T08:00:00.000Z","3,810.47","3,838.24","3,795.62","3,821.62","0.10","0.02","3,985,370,000"
"2022-12-21T08:00:00.000Z","3,839.49","3,889.82","3,839.49","3,878.44","1.49","1.40","3,775,200,000"
"2022-12-22T08:00:00.000Z","3,853.26","3,853.26","3,764.49","3,822.39","-1.45","-1.53","3,956,950,000"
"2022-12-23T08:00:00.000Z","3,815.11","3,845.80","3,797.01","3,844.82","0.59","0.50","2,819,280,000"
"2022-12-27T08:00:00.000Z","3,843.34","3,846.65","3,813.22","3,829.25","-0.40","-0.49","3,030,300,000"
"2022-12-28T08:00:00.000Z","3,829.56","3,848.32","3,780.78","3,783.22","-1.20","-1.29","3,083,520,000"
"2022-12-29T08:00:00.000Z","3,805.45","3,858.19","3,805.45","3,849.28","1.75","1.66","3,003,680,000"
"2022-12-30T08:00:00.000Z","3,829.06","3,839.85","3,800.34","3,839.50","-0.25","-0.34","2,979,870,000"
"2023-01-03T08:00:00.000Z","3,853.29","3,878.46","3,794.33","3,824.14","-0.40","-0.48","3,959,140,000"
"2023-01-04T08:00:00.000Z","3,840.36","3,873.16","3,815.77","3,852.97","0.75","0.67","4,414,080,000"
"2023-01-05T08:00:00.000Z","3,839.74","3,839.74","3,802.42","3,808.10","-1.16","-1.25","3,893,450,000"
"2023-01-06T08:00:00.000Z","3,823.37","3,906.19","3,809.56","3,895.08","2.28","2.20","3,923,560,000"
"2023-01-09T08:00:00.000Z","3,910.82","3,950.57","3,890.42","3,892.09","-0.08","-0.16","4,311,770,000"
"2023-01-10T08:00:00.000Z","3,888.57","3,919.83","3,877.29","3,919.25","0.70","0.61","3,851,030,000"
"2023-01-11T08:00:00.000Z","3,932.35","3,970.07","3,928.54","3,969.61","1.28","1.20","4,303,360,000"
"2023-01-12T08:00:00.000Z","3,977.57","3,997.76","3,937.56","3,983.17","0.34","0.26","4,440,260,000"
"2023-01-13T08:00:00.000Z","3,960.60","4,003.95","3,947.67","3,999.09","0.40","0.31","3,939,700,000"
"2023-01-17T08:00:00.000Z","3,999.28","4,015.39","3,984.57","3,990.97","-0.20","-0.29","4,235,560,000"
"2023-01-18T08:00:00.000Z","4,002.25","4,014.16","3,926.59","3,928.86","-1.56","-1.64","4,298,710,000"
"2023-01-19T08:00:00.000Z","3,911.84","3,922.94","3,885.54","3,898.85","-0.76","-0.85","3,991,500,000"
"2023-01-20T08:00:00.000Z","3,909.04","3,972.96","3,897.86","3,972.61","1.89","1.81","4,013,360,000"
"2023-01-23T08:00:00.000Z","3,978.14","4,039.31","3,971.64","4,019.81","1.19","1.10","3,945,210,000"
"2023-01-24T08:00:00.000Z","4,001.74","4,023.92","3,989.79","4,016.95","-0.07","-0.16","3,320,430,000"
"2023-01-25T08:00:00.000Z","3,982.71","4,019.55","3,949.06","4,016.22","-0.02","-0.10","3,724,020,000"
"2023-01-26T08:00:00.000Z","4,036.08","4,061.57","4,013.29","4,060.43","1.10","1.02","3,809,590,000"
"2023-01-27T08:00:00.000Z","4,053.72","4,094.21","4,048.70","4,070.56","0.25","0.16","3,907,760,000"
"2023-01-30T08:00:00.000Z","4,049.27","4,063.85","4,015.55","4,017.77","-1.30","-1.38","3,802,000,000"
"2023-01-31T08:00:00.000Z","4,020.85","4,077.16","4,020.44","4,076.60","1.46","1.38","4,679,320,000"
"2023-02-01T08:00:00.000Z","4,070.07","4,148.95","4,037.20","4,119.21","1.05","0.96","4,856,930,000"
"2023-02-02T08:00:00.000Z","4,158.68","4,195.44","4,141.88","4,179.76","1.47","1.39","5,624,360,000"
"2023-02-03T08:00:00.000Z","4,136.69","4,182.36","4,123.36","4,136.48","-1.04","-1.12","4,694,510,000"
"2023-02-06T08:00:00.000Z","4,119.57","4,124.63","4,093.38","4,111.08","-0.61","-0.70","4,114,240,000"
"2023-02-07T08:00:00.000Z","4,105.35","4,176.54","4,088.39","4,164.00","1.29","1.20","4,355,860,000"
"2023-02-08T08:00:00.000Z","4,153.47","4,156.85","4,111.67","4,117.86","-1.11","-1.19","4,029,820,000"
"2023-02-09T08:00:00.000Z","4,144.25","4,156.23","4,069.67","4,081.50","-0.88","-0.97","4,270,200,000"
"2023-02-10T08:00:00.000Z","4,068.92","4,094.36","4,060.79","4,090.46","0.22","0.13","3,891,520,000"
"2023-02-13T08:00:00.000Z","4,096.62","4,138.90","4,092.67","4,137.29","1.14","1.06","3,448,620,000"
"2023-02-14T08:00:00.000Z","4,126.70","4,159.77","4,095.01","4,136.13","-0.03","-0.11","3,929,200,000"
"2023-02-15T08:00:00.000Z","4,119.50","4,148.11","4,103.98","4,147.60","0.28","0.19","4,075,980,000"
"2023-02-16T08:00:00.000Z","4,114.75","4,136.54","4,089.49","4,090.41","-1.38","-1.46","4,143,660,000"
"2023-02-17T08:00:00.000Z","4,077.39","4,081.51","4,047.95","4,079.09","-0.28","-0.36","4,045,480,000"
"2023-02-21T08:00:00.000Z","4,052.35","4,052.35","3,995.19","3,997.34","-2.00","-2.09","4,121,590,000"
"2023-02-22T08:00:00.000Z","4,001.83","4,017.37","3,976.90","3,991.05","-0.16","-0.24","4,079,320,000"
"2023-02-23T08:00:00.000Z","4,018.60","4,028.30","3,969.19","4,012.32","0.53","0.45","3,952,940,000"
"2023-02-24T08:00:00.000Z","3,973.24","3,978.25","3,943.08","3,970.04","-1.05","-1.14","3,877,700,000"
"2023-02-27T08:00:00.000Z","3,992.36","4,018.05","3,973.55","3,982.24","0.31","0.22","3,836,950,000"
"2023-02-28T08:00:00.000Z","3,977.19","3,997.50","3,968.98","3,970.15","-0.30","-0.39","5,043,400,000"
"2023-03-01T08:00:00.000Z","3,963.34","3,971.73","3,939.05","3,951.39","-0.47","-0.56","4,249,480,000"
"2023-03-02T08:00:00.000Z","3,938.68","3,990.84","3,928.16","3,981.35","0.76","0.67","4,244,900,000"
"2023-03-03T08:00:00.000Z","3,998.02","4,048.29","3,995.17","4,045.64","1.61","1.53","4,084,730,000"
"2023-03-06T08:00:00.000Z","4,055.15","4,078.49","4,044.61","4,048.42","0.07","-0.02","4,000,870,000"
"2023-03-07T08:00:00.000Z","4,048.26","4,050.00","3,980.31","3,986.37","-1.53","-1.62","3,922,500,000"
"2023-03-08T08:00:00.000Z","3,987.55","4,000.41","3,969.76","3,992.01","0.14","0.06","3,535,570,000"
"2023-03-09T08:00:00.000Z","3,998.66","4,017.81","3,908.70","3,918.32","-1.85","-1.93","4,445,260,000"
"2023-03-10T08:00:00.000Z","3,912.77","3,934.05","3,846.32","3,861.59","-1.45","-1.53","5,518,190,000"
"2023-03-13T07:00:00.000Z","3,835.12","3,905.05","3,808.86","3,855.76","-0.15","-0.24","6,558,020,000"
"2023-03-14T07:00:00.000Z","3,894.01","3,937.29","3,873.63","3,919.29","1.65","1.56","5,665,870,000"
"2023-03-15T07:00:00.000Z","3,876.74","3,894.26","3,838.24","3,891.93","-0.70","-0.78","6,594,010,000"
"2023-03-16T07:00:00.000Z","3,878.93","3,964.46","3,864.11","3,960.28","1.76","1.67","5,695,790,000"
"2023-03-17T07:00:00.000Z","3,958.69","3,958.91","3,901.27","3,916.64","-1.10","-1.19","9,354,280,000"
"2023-03-20T07:00:00.000Z","3,917.47","3,956.62","3,916.89","3,951.57","0.89","0.81","5,347,140,000"
"2023-03-21T07:00:00.000Z","3,975.89","4,009.08","3,971.19","4,002.87","1.30","1.21","4,920,240,000"
"2023-03-22T07:00:00.000Z","4,002.04","4,039.49","3,936.17","3,936.97","-1.65","-1.73","4,533,010,000"
"2023-03-23T07:00:00.000Z","3,959.21","4,007.66","3,919.05","3,948.72","0.30","0.21","4,991,600,000"
"2023-03-24T07:00:00.000Z","3,939.21","3,972.74","3,909.16","3,970.99","0.56","0.48","4,583,970,000"
"2023-03-27T07:00:00.000Z","3,982.93","4,003.83","3,970.49","3,977.53","0.16","0.08","4,233,540,000"
"2023-03-28T07:00:00.000Z","3,974.13","3,979.20","3,951.53","3,971.27","-0.16","-0.24","4,014,600,000"
"2023-03-29T07:00:00.000Z","3,999.53","4,030.59","3,999.53","4,027.81","1.42","1.34","4,145,250,000"
"2023-03-30T07:00:00.000Z","4,046.74","4,057.85","4,032.10","4,050.83","0.57","0.49","3,930,860,000"
"2023-03-31T07:00:00.000Z","4,056.18","4,110.75","4,056.18","4,109.31","1.44","1.36","4,525,120,000"
"2023-04-03T07:00:00.000Z","4,102.20","4,127.66","4,098.79","4,124.51","0.37","0.28","4,234,700,000"
"2023-04-04T07:00:00.000Z","4,128.03","4,133.13","4,086.87","4,100.60","-0.58","-0.66","4,227,800,000"
"2023-04-05T07:00:00.000Z","4,094.50","4,099.69","4,072.56","4,090.38","-0.25","-0.33","3,968,020,000"
"2023-04-06T07:00:00.000Z","4,081.15","4,107.32","4,069.84","4,105.02","0.36","0.27","3,486,690,000"
"2023-04-10T07:00:00.000Z","4,085.20","4,109.50","4,072.55","4,109.11","0.10","0.01","3,423,650,000"
"2023-04-11T07:00:00.000Z","4,110.29","4,124.26","4,102.61","4,108.94","0","-0.09","3,665,830,000"
"2023-04-12T07:00:00.000Z","4,121.72","4,134.37","4,086.94","4,091.95","-0.41","-0.50","3,633,120,000"
"2023-04-13T07:00:00.000Z","4,100.04","4,150.26","4,099.40","4,146.22","1.33","1.24","3,596,590,000"
"2023-04-14T07:00:00.000Z","4,140.11","4,163.19","4,113.20","4,137.64","-0.21","-0.29","3,575,690,000"
"2023-04-17T07:00:00.000Z","4,137.17","4,151.72","4,123.18","4,151.32","0.33","0.25","3,611,180,000"
"2023-04-18T07:00:00.000Z","4,164.26","4,169.48","4,140.36","4,154.87","0.09","0","3,536,640,000"
"2023-04-19T07:00:00.000Z","4,139.33","4,162.57","4,134.49","4,154.52","-0.01","-0.09","3,572,560,000"
"2023-04-20T07:00:00.000Z","4,130.48","4,148.57","4,114.57","4,129.79","-0.60","-0.68","3,772,080,000"
"2023-04-21T07:00:00.000Z","4,132.14","4,138.02","4,113.86","4,133.52","0.09","0.01","3,611,750,000"
